epoch,acc,loss,val_acc,val_loss
0,0.33499999904632566,2.1752583141326904,0.7399999990463256,1.1222994031906128
1,0.6370000019073486,1.0938516402244567,0.7440000014305115,0.7446892423629761
2,0.7040000019073487,0.867412875175476,0.7699999995231629,0.6437694201469422
3,0.7390000019073486,0.7304260339736939,0.7760000019073486,0.6139106431007385
4,0.7650000014305115,0.65841241979599,0.782999997138977,0.5769305377006531
5,0.781,0.5955240416526795,0.7909999995231628,0.5556795525550843
6,0.7820000004768372,0.5674754419326782,0.7959999985694886,0.5407296652793885
7,0.8100000009536743,0.5376319861412049,0.7940000009536743,0.5219497017860413
8,0.826,0.49922169995307925,0.8110000014305114,0.5177369608879089
9,0.8440000023841858,0.44548215746879577,0.818,0.5071565728187561
10,0.8490000009536743,0.41921772408485414,0.818,0.511165265083313
11,0.846000002861023,0.4304361505508423,0.814,0.519147912979126
12,0.8440000004768372,0.4277863221168518,0.8230000028610229,0.498374135017395
13,0.8409999985694885,0.39378864979743955,0.8219999990463257,0.506139322757721
14,0.8720000009536744,0.3637176539897919,0.8170000023841858,0.5153668704032898
15,0.873,0.3269742548465729,0.8190000014305114,0.5172962923049926
16,0.8789999985694885,0.31569429898262025,0.8170000023841858,0.5275087566375732
17,0.8889999976158142,0.2962109923362732,0.8160000014305114,0.5409835381507874
18,0.8870000014305115,0.3059180111885071,0.8299999990463257,0.5016028652191162
19,0.9099999990463257,0.2608206989765167,0.8330000028610229,0.5099660139083863
