epoch,acc,loss,val_acc,val_loss
0,0.34499999856948854,1.9115829906463624,0.534000002861023,1.2749598331451415
1,0.5919999985694885,1.2022623414993285,0.7169999976158142,0.8342644181251526
2,0.6869999971389771,0.9238412618637085,0.733,0.740773549079895
3,0.75,0.7480476450920105,0.755999997138977,0.665908173084259
4,0.7640000004768371,0.6854031648635864,0.774,0.640917504787445
5,0.8009999980926513,0.5978098196983337,0.7759999976158142,0.6121288285255432
6,0.8069999980926513,0.543969241142273,0.775,0.6030358672142029
7,0.8130000019073487,0.5149962377548217,0.7899999976158142,0.5940081076622009
8,0.8399999985694885,0.4572871627807617,0.7979999980926513,0.5777611999511719
9,0.8569999985694885,0.4199329204559326,0.8009999990463257,0.560657804965973
10,0.8649999985694885,0.3981295919418335,0.8019999980926513,0.5447318782806396
11,0.8709999995231629,0.36558289790153503,0.8099999990463257,0.5458836035728455
12,0.887000002861023,0.33135249972343445,0.8209999990463257,0.5569676656723023
13,0.8930000023841858,0.299209689617157,0.8059999990463257,0.5612530035972595
14,0.8969999976158142,0.28407531380653384,0.8070000004768372,0.576000319480896
15,0.9090000014305115,0.26207890748977664,0.8190000028610229,0.5353445420265198
16,0.9070000004768372,0.25776168978214264,0.8199999980926513,0.5511957573890686
17,0.9209999971389771,0.21145391869544983,0.8070000014305114,0.6140272407531738
18,0.9150000004768372,0.23650177192687988,0.8120000028610229,0.581244803905487
19,0.9200000028610229,0.21992777597904206,0.8189999990463257,0.587878390789032
